city,state,country,builder_name,website_url
Port Blair,Andaman and Nicobar Islands,India,Emaar India,https://www.magicbricks.com/Emaar-India-buid-4d423536313433
Port Blair,Andaman and Nicobar Islands,India,punet test,https://www.magicbricks.com/punet-test-buid-4d423539343432
Port Blair,Andaman and Nicobar Islands,India,Shekhar Binawat Developer,https://www.magicbricks.com/Shekhar-Binawat-Developer-buid-4d423731313038
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,https://www.magicbricks.com/Aparna-Constructions-and-Estates-Pvt.-Ltd.-buid-4d423534343733
Guntur,Andhra Pradesh,India,Swastik Developers,https://www.magicbricks.com/Swastik-Developers-buid-4d423536383137
Guntur,Andhra Pradesh,India,Jayabheri Properties Pvt Ltd,https://www.magicbricks.com/Jayabheri-Properties-Pvt-Ltd-buid-4d423632303830
Guntur,Andhra Pradesh,India,Vertex Homes Pvt. Ltd.,https://www.magicbricks.com/Vertex-Homes-Pvt.-Ltd.-buid-4d423530343232
Guntur,Andhra Pradesh,India,SRI Gayatri Constructions,https://www.magicbricks.com/SRI-Gayatri-Constructions-buid-4d423635313335
Guntur,Andhra Pradesh,India,BRC Infra Pvt. Ltd.,https://www.magicbricks.com/BRC-Infra-Pvt.-Ltd.-buid-4d423530303937
Guntur,Andhra Pradesh,India,Mourya Constructions,https://www.magicbricks.com/Mourya-Constructions-buid-4d423533373631
Guntur,Andhra Pradesh,India,Vajra Homes Pvt. Ltd.,https://www.magicbricks.com/Vajra-Homes-Pvt.-Ltd.-buid-4d423535353939
Guntur,Andhra Pradesh,India,Siddhi Ganapathi Developers pvt ltd,https://www.magicbricks.com/Siddhi-Ganapathi-Developers-pvt-ltd-buid-4d423537313735
Guntur,Andhra Pradesh,India,Pruthvi Builders & Developers,https://www.magicbricks.com/Pruthvi-Builders-&-Developers-buid-4d423538383135
Guntur,Andhra Pradesh,India,Sai Teja Constructions,https://www.magicbricks.com/Sai-Teja-Constructions-buid-4d423633333031
Guntur,Andhra Pradesh,India,RJ Projects,https://www.magicbricks.com/RJ-Projects-buid-4d423636323537
Guntur,Andhra Pradesh,India,Sri Vaishnavi Townships India,https://www.magicbricks.com/Sri-Vaishnavi-Townships-India-buid-4d423636383131
Guntur,Andhra Pradesh,India,Ramakrishna Housing,https://www.magicbricks.com/Ramakrishna-Housing-buid-4d423637303734
Guntur,Andhra Pradesh,India,Keystones Infra Con India,https://www.magicbricks.com/Keystones-Infra-Con-India-buid-4d423637313138
Guntur,Andhra Pradesh,India,APCRDA,https://www.magicbricks.com/APCRDA-buid-4d423639373336
Guntur,Andhra Pradesh,India,Aphrodite Housing & development Pvt Ltd,https://www.magicbricks.com/Aphrodite-Housing-&-development-Pvt-Ltd-buid-4d423737383535
Guntur,Andhra Pradesh,India,Aaditri Housing Pvt. Ltd.,https://www.magicbricks.com/Aaditri-Housing-Pvt.-Ltd.-buid-4d423738363231
Guntur,Andhra Pradesh,India,Sai Divya Infrastructure LLP,https://www.magicbricks.com/Sai-Divya-Infrastructure-LLP-buid-4d423739383631
Guntur,Andhra Pradesh,India,Happy Homes,https://www.magicbricks.com/Happy-Homes-buid-4d423531343438
Kurnool,Andhra Pradesh,India,Sri Vasavi Construction,https://www.magicbricks.com/Sri-Vasavi-Construction-buid-4d423534303334
Kurnool,Andhra Pradesh,India,TNR Ventures LLP,https://www.magicbricks.com/TNR-Ventures-LLP-buid-4d423834363637
Machilipatnam,Andhra Pradesh,India,Harivilu Group,https://www.magicbricks.com/Harivilu-Group-buid-4d423530393939
Nellore,Andhra Pradesh,India,KVV Developers,https://www.magicbricks.com/KVV-Developers-buid-4d423738343137
Rajahmundry,Andhra Pradesh,India,Pragnya Riverbridge Developers Ltd.,https://www.magicbricks.com/Pragnya-Riverbridge-Developers-Ltd.-buid-4d423536333731
Rajahmundry,Andhra Pradesh,India,Swathi Promoters Pvt. Ltd.,https://www.magicbricks.com/Swathi-Promoters-Pvt.-Ltd.-buid-4d423631353732
Rajahmundry,Andhra Pradesh,India,Narayana and Rao Constructions,https://www.magicbricks.com/Narayana-and-Rao-Constructions-buid-4d423632353838
