geo_key,latitude,longitude
"Sector 62,Gurgaon, Port Blair, Andaman and Nicobar Islands, India",28.407697,77.0823781
"Gomtinagar Extension,Lucknow, Port Blair, Andaman and Nicobar Islands, India",,
"Sector 86,Gurgaon, Port Blair, Andaman and Nicobar Islands, India",28.3981205,76.9411257
"Sector 112,Gurgaon, Port Blair, Andaman and Nicobar Islands, India",28.5203402,77.0188612
"Sector-99,Mohali, Port Blair, Andaman and Nicobar Islands, India",30.6574063,76.6951274
"Ajmer Road,Jaipur, Port Blair, Andaman and Nicobar Islands, India",26.9145574,75.7939878
"Sector 108,Mohali, Port Blair, Andaman and Nicobar Islands, India",30.6498933,76.6787338
"Sector 65,Gurgaon, Port Blair, Andaman and Nicobar Islands, India",28.4030162,77.0695893
"Sector-106,Mohali, Port Blair, Andaman and Nicobar Islands, India",30.6665244,76.6762447
"Bhankrota,Jaipur, Port Blair, Andaman and Nicobar Islands, India",26.5743653,75.7161641
"Jaipur Ajmer Express Highway,Jaipur, Port Blair, Andaman and Nicobar Islands, India",,
"Sector 114,Gurgaon, Port Blair, Andaman and Nicobar Islands, India",28.5327129,77.0122454
"Sector-104,Mohali, Port Blair, Andaman and Nicobar Islands, India",30.6506133,76.6865443
"Sultanpur Road,Lucknow, Port Blair, Andaman and Nicobar Islands, India",26.7738648,81.0768652
"Mahapura Colony,Jaipur, Port Blair, Andaman and Nicobar Islands, India",,
"Golf Course Extension Road,Gurgaon, Port Blair, Andaman and Nicobar Islands, India",28.4090032,77.0658497
"Shadipur,Port Blair, Port Blair, Andaman and Nicobar Islands, India",,
"NH 8,Jaipur, Port Blair, Andaman and Nicobar Islands, India",26.9154576,75.8189817
"Gachibowli,Hyderabad, Port Blair, Andaman and Nicobar Islands, India",17.4436222,78.3519638
"Kalarahanga,Bhubaneswar, Port Blair, Andaman and Nicobar Islands, India",,
"Sector 89,Gurgaon, Port Blair, Andaman and Nicobar Islands, India",28.4184455,76.9457567
"Sector 102,Gurgaon, Port Blair, Andaman and Nicobar Islands, India",28.4754872,76.9711747
"Sector 83,Gurgaon, Port Blair, Andaman and Nicobar Islands, India",28.3981087,76.9732873
"Sector 77,Gurgaon, Port Blair, Andaman and Nicobar Islands, India",28.3832337,76.982557
"Sector 66,Gurgaon, Port Blair, Andaman and Nicobar Islands, India",28.3974292,77.0538823
"Mehrauli Gurgaon Road,Gurgaon, Port Blair, Andaman and Nicobar Islands, India",28.4822608,77.0948909
"Sector 105 Emaar MGF,Mohali, Port Blair, Andaman and Nicobar Islands, India",,
"Golf Course Road,Gurgaon, Port Blair, Andaman and Nicobar Islands, India",28.4677319,77.0942263
"Sector 109,Mohali, Port Blair, Andaman and Nicobar Islands, India",30.6574063,76.6723823
"Commonwealth Games Village,New Delhi, Port Blair, Andaman and Nicobar Islands, India",,
"Dwarka Expressway,Gurgaon, Port Blair, Andaman and Nicobar Islands, India",28.4228725,76.9624963
