address,lat,lon
"Sector 62,Gurgaon, India",28.407697,77.0823781
"Gomtinagar Extension,Lucknow, India",,
"Sector 86,Gurgaon, India",28.3981205,76.9411257
"Sector 112,Gurgaon, India",28.5203402,77.0188612
"Sector-99,Mohali, India",30.6574063,76.6951274
"Ajmer Road,Jaipur, India",26.9145574,75.7939878
"Sector 108,Mohali, India",30.6498933,76.6787338
"Sector-106,Mohali, India",30.6665244,76.6762447
"Sector 65,Gurgaon, India",28.4030162,77.0695893
"Jaipur Ajmer Express Highway,Jaipur, India",,
"Bhankrota,Jaipur, India",26.5743653,75.7161641
"Sector 114,Gurgaon, India",28.5327129,77.0122454
"Sector-104,Mohali, India",30.6506133,76.6865443
"Sultanpur Road,Lucknow, India",26.7738648,81.0768652
"Mahapura Colony,Jaipur, India",,
"Golf Course Extension Road,Gurgaon, India",28.4090032,77.0658497
"Shadipur,Port Blair, India",,
"Sector 89,Gurgaon, India",28.4184455,76.9457567
"Gachibowli,Hyderabad, India",17.4436222,78.3519638
"Kalarahanga,Bhubaneswar, India",,
"NH 8,Jaipur, India",26.9154576,75.8189817
"Sector 102,Gurgaon, India",28.4754872,76.9711747
"Sector 83,Gurgaon, India",28.3981087,76.9732873
"Sector 77,Gurgaon, India",28.3832337,76.982557
"Sector 66,Gurgaon, India",28.3974292,77.0538823
"Mehrauli Gurgaon Road,Gurgaon, India",28.4822608,77.0948909
"Golf Course Road,Gurgaon, India",28.4677319,77.0942263
"Sector 109,Mohali, India",30.6574063,76.6723823
"Sector 105 Emaar MGF,Mohali, India",,
"Commonwealth Games Village,New Delhi, India",,
"Dwarka Expressway,Gurgaon, India",28.4228725,76.9624963
"Sector 61,Gurgaon, India",28.4110188,77.0963685
"Sector 25,Gurgaon, India",28.4860888,77.084224
"Sector 22,Gurgaon, India",28.506318,77.0655182
"Sohna Road,Gurgaon, India",28.4572009,77.0280333
"Sector 26,Gurgaon, India",28.4779375,77.1032425
"Airport Road,Indore, India",22.7205804,75.8399089
"Tondiarpet,Chennai, India",13.1275202,80.2819242
"Sector 76,Gurgaon, India",28.3910112,76.9900243
"Long Island,Andaman & Nicobar, India",12.3968182,92.9342976
"Buniyadabad,Port Blair, India",,
"Camorta Island test,Andaman & Nicobar, India",,
