city,state,country,builder_name,project_name,location_text,status,budget_raw,latitude,longitude,project_type,source,geo_key
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Urban Oasis,"Sector 62,Gurgaon",ongoing,₹4.19 Cr   -₹9.77 Cr,28.407697,77.0823781,"3, 4 BHK 
										Multistorey Apartment..",magicbricks,"Sector 62,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Amaris,"Sector 62,Gurgaon",ongoing,₹3.14 Cr   -₹6.50 Cr,28.407697,77.0823781,Multistorey Apartment..,magicbricks,"Sector 62,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Elite Oasis,"Gomtinagar Extension,Lucknow",ongoing,₹2.61 Cr   -₹3.76 Cr,,,Multistorey Apartment..,magicbricks,"Gomtinagar Extension,Lucknow, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Serenity Hills,"Sector 86,Gurgaon",ongoing,₹2.78 Cr   -₹4.70 Cr,28.3981205,76.9411257,Multistorey Apartment..,magicbricks,"Sector 86,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Urban Ascent,"Sector 112,Gurgaon",ongoing,₹3.03 Cr   -₹5.27 Cr,28.5203402,77.0188612,Multistorey Apartment..,magicbricks,"Sector 112,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Sector 99,"Sector-99,Mohali",ongoing,₹2.25 Cr   -₹3.25 Cr,30.6574063,76.6951274,Residential Plot..,magicbricks,"Sector-99,Mohali, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Vaikunth Villa Plots at Jaipur Greens,"Ajmer Road,Jaipur",ongoing,,26.9145574,75.7939878,,magicbricks,"Ajmer Road,Jaipur, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Urban Oasis Phase 4,"Sector 62,Gurgaon",ongoing,,28.407697,77.0823781,"2 BHK 
										..",magicbricks,"Sector 62,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Sector 108,"Sector 108,Mohali",ongoing,₹2.25 Cr   -₹3.75 Cr,30.6498933,76.6787338,"3, 4, 5 BHK 
										Residential Plot..",magicbricks,"Sector 108,Mohali, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar The 88,"Sector 112,Gurgaon",ongoing,₹2.30 Cr Onwards,28.5203402,77.0188612,"2, 3 BHK 
										Multistorey Apartment..",magicbricks,"Sector 112,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Square,"Sector 65,Gurgaon",ongoing,₹3.80 Cr   -₹8.15 Cr,28.4030162,77.0695893,,magicbricks,"Sector 65,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Sector 106,"Sector-106,Mohali",ongoing,₹3 Cr Onwards,30.6665244,76.6762447,Residential Plot..,magicbricks,"Sector-106,Mohali, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Jaipur Green Extension Vaikunth New,"Bhankrota,Jaipur",ongoing,,26.5743653,75.7161641,"3 BHK 
										..",magicbricks,"Bhankrota,Jaipur, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Vaikunth Villa Plots,"Jaipur Ajmer Express Highway,Jaipur",ongoing,,,,,magicbricks,"Jaipur Ajmer Express Highway,Jaipur, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Business District 114,"Sector 114,Gurgaon",ongoing,,28.5327129,77.0122454,,magicbricks,"Sector 114,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Sector 104,"Sector-104,Mohali",ongoing,₹2.90 Cr   -₹3.25 Cr,30.6506133,76.6865443,"3 BHK 
										Residential Plot..",magicbricks,"Sector-104,Mohali, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF (Gomti Greens),"Sultanpur Road,Lucknow",ongoing,₹81.4 Lac   -₹1.07 Cr,26.7738648,81.0768652,,magicbricks,"Sultanpur Road,Lucknow, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Vaikunth,"Mahapura Colony,Jaipur",ongoing,,,,,magicbricks,"Mahapura Colony,Jaipur, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Emerald Floors Select,"Golf Course Extension Road,Gurgaon",ongoing,₹4.47 Cr   -₹5.75 Cr,28.4090032,77.0658497,"4 BHK 
										..",magicbricks,"Golf Course Extension Road,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Vaikunth at Jaipur Greens,"Mahapura Colony,Jaipur",ongoing,,,,,magicbricks,"Mahapura Colony,Jaipur, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Ekaantam,"Sector 112,Gurgaon",ongoing,,28.5203402,77.0188612,,magicbricks,"Sector 112,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Address Villas Tierra,"Shadipur,Port Blair",ongoing,,,,,magicbricks,"Shadipur,Port Blair, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF Marvel,"Sector 112,Gurgaon",ongoing,,28.5203402,77.0188612,,magicbricks,"Sector 112,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar The Meadows,"NH 8,Jaipur",ongoing,,26.9154576,75.8189817,,magicbricks,"NH 8,Jaipur, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Boulder Hills,"Gachibowli,Hyderabad",ongoing,,17.4436222,78.3519638,,magicbricks,"Gachibowli,Hyderabad, Port Blair, Andaman and Nicobar Islands, India"
