city,state,country,builder_name,project_name,location_text,status,project_type,budget_raw,source
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Urban Oasis,"Sector 62,Gurgaon",ongoing,"3, 4 BHK 
										Multistorey Apartment..",₹4.19 Cr   -₹10.45 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Elite Oasis,"Gomtinagar Extension,Lucknow",ongoing,Multistorey Apartment..,₹2.61 Cr   -₹3.76 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Urban Ascent,"Sector 112,Gurgaon",ongoing,Multistorey Apartment..,₹3.03 Cr   -₹5.27 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Amaris,"Sector 62,Gurgaon",ongoing,Multistorey Apartment..,₹3.14 Cr   -₹6.50 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Serenity Hills,"Sector 86,Gurgaon",ongoing,Multistorey Apartment..,₹2.78 Cr   -₹4.70 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Vaikunth Villa Plots at Jaipur Greens,"Ajmer Road,Jaipur",ongoing,,,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Sector 99,"Sector-99,Mohali",ongoing,Residential Plot..,₹2.25 Cr   -₹2.40 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Urban Oasis Phase 4,"Sector 62,Gurgaon",ongoing,"2 BHK 
										..",,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar The 88,"Sector 112,Gurgaon",ongoing,"2, 3 BHK 
										Multistorey Apartment..",₹2.20 Cr   -₹2.30 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Square,"Sector 65,Gurgaon",ongoing,,₹3.80 Cr   -₹8.56 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Sector 106,"Sector-106,Mohali",ongoing,Residential Plot..,₹3 Cr Onwards,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Vaikunth Villa Plots,"Jaipur Ajmer Express Highway,Jaipur",ongoing,,,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Jaipur Green Extension Vaikunth New,"Bhankrota,Jaipur",ongoing,"3 BHK 
										..",,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Business District 114,"Sector 114,Gurgaon",ongoing,,,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Sector 108,"Sector 108,Mohali",ongoing,"3, 4, 5 BHK 
										Residential Plot..",₹2.25 Cr   -₹3.75 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Sector 104,"Sector-104,Mohali",ongoing,"3 BHK 
										Residential Plot..",₹2.90 Cr   -₹3.25 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF (Gomti Greens),"Sultanpur Road,Lucknow",ongoing,,₹80.0 Lac   -₹1.06 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Emerald Floors Select,"Golf Course Extension Road,Gurgaon",ongoing,"4 BHK 
										..",₹4.47 Cr   -₹5.75 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Vaikunth,"Mahapura Colony,Jaipur",ongoing,,,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Vaikunth at Jaipur Greens,"Mahapura Colony,Jaipur",ongoing,,,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Ekaantam,"Sector 112,Gurgaon",ongoing,,,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Shivgram Residency,"Kalarahanga,Bhubaneswar",ongoing,,,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Business District 89,"Sector 89,Gurgaon",ongoing,,,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Address Villas Tierra,"Shadipur,Port Blair",ongoing,,,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar The Meadows,"NH 8,Jaipur",ongoing,,,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF Marvel,"Sector 112,Gurgaon",ongoing,,,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Boulder Hills,"Gachibowli,Hyderabad",ongoing,,,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Gurgaon Greens,"Sector 102,Gurgaon",completed,"Penthouse, Multistorey Apartment..",₹1.90 Cr   -₹3.84 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Emerald Hills,"Sector 65,Gurgaon",completed,Builder Floor Apartment..,₹3.49 Cr   -₹7.29 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Emerald Estate,"Sector 65,Gurgaon",completed,Multistorey Apartment..,₹1.82 Cr   -₹2.50 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Imperial Gardens,"Sector 102,Gurgaon",completed,Multistorey Apartment..,₹2.41 Cr   -₹2.45 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Hills,"Sector 77,Gurgaon",completed,Multistorey Apartment..,₹1.79 Cr   -₹2.41 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Garden,"Sector 83,Gurgaon",completed,Multistorey Apartment..,₹2.30 Cr   -₹5.01 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Mgf Emerald Floors,"Sector 65,Gurgaon",completed,Builder Floor Apartment..,₹2.50 Cr   -₹3.20 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Heights,"Sector 77,Gurgaon",completed,Multistorey Apartment..,₹2.68 Cr   -₹2.72 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar The Palm Drive,"Sector 66,Gurgaon",completed,Multistorey Apartment..,₹3.84 Cr   -₹8.20 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF Marbella,"Sector 66,Gurgaon",completed,Villa..,₹15.04 Cr   -₹21.79 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Terraces Select,"Sector 66,Gurgaon",completed,"4 BHK 
										..",₹4.24 Cr   -₹6.47 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF The Enclave,"Sector 66,Gurgaon",completed,"3, 4 BHK 
										..",₹2.61 Cr   -₹3.53 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emmar Mohali Hills Exclusive Plots,"Sector 105 Emaar MGF,Mohali",completed,Residential Plot..,₹2.15 Cr   -₹2.60 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar The Palm Springs,"Golf Course Road,Gurgaon",completed,"3, 4, 5 BHK 
										..",₹20.54 Cr   -₹49.35 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Emerald Plaza,"Sector 65,Gurgaon",completed,,,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Digi Homes,"Sector 62,Gurgaon",completed,"2, 3 BHK 
										..",₹3.44 Cr   -₹5.92 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Mohali Hills,"Sector 109,Mohali",completed,"4, 7, > 10 BHK 
										..",,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Mohali Hills Plot,"Sector 108,Mohali",completed,Residential Plot..,₹2.95 Cr Onwards,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Gomti Greens,"Gomtinagar Extension,Lucknow",completed,"1, 3, 5 BHK 
										..",₹2.29 Cr   -₹11.34 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF The Views,"Sector 105 Emaar MGF,Mohali",completed,"2, 3, 4 BHK 
										..",₹1.30 Cr   -₹1.35 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Jaipur Greens,"Ajmer Road,Jaipur",completed,,₹43.5 Lac   -₹60.0 Lac,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Premier,"Sector 77,Gurgaon",completed,"3 BHK 
										..",₹3.82 Cr   -₹3.86 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Terraces,"Sector 66,Gurgaon",completed,"4 BHK 
										..",₹4.30 Cr   -₹4.65 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar The Villas,"Sector-106,Mohali",completed,"5 BHK 
										..",,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Emerald Floors Premier,"Sector 65,Gurgaon",completed,"3, 4 BHK 
										..",₹3.13 Cr   -₹3.87 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Gurgaon Greens,"Dwarka Expressway,Gurgaon",completed,"3 BHK 
										..",₹1.75 Cr   -₹2.76 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Digital Greens,"Sector 61,Gurgaon",completed,,,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF The Vilas,"Sector 25,Gurgaon",completed,"3, 4, 5, 6 BHK 
										..",₹2.67 Cr   -₹7.32 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF Metropolis,"Mehrauli Gurgaon Road,Gurgaon",completed,Commercial Office Space..,₹2 Cr   -₹2.35 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF Colonnade,"Sector 66,Gurgaon",completed,,₹4.20 Cr   -₹5.02 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF The Palm Square,"Golf Course Extension Road,Gurgaon",completed,"4 BHK 
										..",,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar The Bungalows,"Sector 109,Mohali",completed,"4 BHK 
										..",,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Common Wealth Games Village,"Commonwealth Games Village,New Delhi",completed,"5 BHK 
										..",₹3.57 Cr   -₹3.93 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar EBD 65,"Sector 65,Gurgaon",completed,,₹1.35 Cr   -₹3.75 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Emerald Classic,"Sector 65,Gurgaon",completed,,₹3.85 Cr   -₹8.89 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Springs Plaza,"Golf Course Road,Gurgaon",completed,,₹8.49 Cr   -₹10.76 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Select,"Sector 77,Gurgaon",completed,,₹2.20 Cr   -₹2.80 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Grace,"Tondiarpet,Chennai",completed,,₹1.44 Cr   -₹1.50 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Indore Greens,"Airport Road,Indore",completed,,₹20.9 Lac   -₹37.2 Lac,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar EMAAR MGF Mockup Villas,"Sector 22,Gurgaon",completed,,₹5.98 Cr   -₹6.49 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF Garden Terraces,"Sohna Road,Gurgaon",completed,,₹1.42 Cr   -₹1.78 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF Palm Studios,"Sector 66,Gurgaon",completed,,₹2.26 Cr Onwards,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF The Meadows,"Sector 76,Gurgaon",completed,,₹3.88 Cr   -₹5.13 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Mohali Hill Villas,"Sector 105 Emaar MGF,Mohali",completed,,₹1.30 Cr   -₹1.35 Cr,magicbricks
